date,authordisplayname,textdisplay,likecount,clean_textdisplay,label,confidence,status,Column 1,Column 2,Column 3,Column 4
2025-10-29 07:39:48+00:00,@panssss2381,"Ada ga ada mobil listrik, pabrikan nikel terus berjalan. Karena nikel itu bukan hanya buat bikin batre mobil listrik,tapi banyak semisal buat batre hp,laptop dll bahkan panci yg didapur juga ada nikelnya dan masih banyak lagi penggunaan nya. Pemakaian nikel buat mobil listrik itu cuma 10% dari penggunaan nikel",0,ada ga ada mobil listrik pabrikan nikel terus berjalan karena nikel itu bukan hanya buat bikin baterai mobil listriktapi banyak semisal buat baterai hplaptop dll bahkan panci yg didapur juga ada nikelnya dan masih banyak lagi penggunaan nya pemakaian nikel buat mobil listrik itu cuma dari penggunaan nikel,Netral,0.86,ok,,,,
2025-10-27 06:04:22+00:00,@vic170786,Akhirnya persaingan 2 negara : china dengan ev dan jepang dengam phev silahkan customer pilih mau pakai yg mana,0,akhirnya persaingan negara china dengan electric vehicle dan jepang dengam plug in hybrid electric vehicle silahkan customer pilih mau pakai yg mana,Netral,0.88,ok,,,,
2025-10-26 17:52:50+00:00,@eddywiyana5524,"Batere EV di recycle menjadi black mass. Dan ada sistem purifikasi sehingga bisa di daur ulang. Ini sudah lazim dilakukan negara2 pemakai EV yang besar seperti Cina. EV minim perawatan, sehingga bengkel2 bakal banyak kehilangan penghasilan. Apalagi pengguna EV cenderung melakukan servis di bengkel2 resmi.",1,baterai electric vehicle di recycle menjadi black mass dan ada sistem purifikasi sehingga bisa di daur ulang ini sudah lazim dilakukan negara pemakai electric vehicle yang besar seperti cina electric vehicle minim perawatan sehingga bengkel bakal banyak kehilangan penghasilan apalagi pengguna electric vehicle cenderung melakukan servis di bengkel resmi,Netral,0.86,ok,,,,
2025-10-26 20:45:47+00:00,@alhumaididjais801,"bcara baterai mobil bensin solar pun ada batrenya, tapi ga segede gaban mobil listrik",0,bcara baterai mobil bensin solar pun ada baterai tapi ga segede gaban mobil listrik,Netral,0.78,ok,,,,
2025-11-13 01:31:38+00:00,@fuadkurniawan3339,betul dokter mobil yg ceritakan. ku pake mobil listrik hny karena irit. jadi tdk pernah justifikasi ramah lingkungan karena problem nya di Tambang Bahan pembuatannya,0,betul dokter mobil yg ceritakan ku pake mobil listrik hny karena hemat jadi tdk pernah justifikasi ramah lingkungan karena problem nya di tambang bahan pembuatannya,Netral,0.78,ok,,,,
2025-10-25 14:49:47+00:00,@Hiwind994,"Catatan penting, kalo dibilang hidrogen masa depan, perlu diketahui di dalam mobil hidrogen pun sama aja ada baterainya, jadi jangan counter mobil ev tentang bahaya tambang kl di hidrogen car pun pake batre😂",4,catatan penting kalo dibilang hidrogen masa depan perlu diketahui di dalam mobil hidrogen pun sama aja ada baterainya jadi jangan counter mobil electric vehicle tentang bahaya tambang kl di hidrogen car pun pake baterai,Netral,0.86,ok,,,,
2025-11-05 07:43:02+00:00,@chubylal,"Cuma mau bilang, mari luangkan waktu sejenak untum minimal tanya sama AI &quot;Apakah dampak kerusakan lingkungan yang ditimbulkan dari sebuah mobil listrik lebih besar dari pada mobil ICE&quot; dan mari kita diskusikan bersama.",0,cuma mau bilang mari luangkan waktu sejenak untum minimal tanya sama ai quotapakah dampak kerusakan lingkungan yang ditimbulkan dari sebuah mobil listrik lebih besar dari pada mobil icequot dan mari kita diskusikan bersama,Netral,0.86,ok,,,,
2025-11-02 02:35:24+00:00,@kielyeremia3574,Dan kebanyakan user EV kalo mau perawatan/cek berkala itu pasti di bengkel resmi bukan bengkel umum.,0,dan kebanyakan user electric vehicle kalo mau perawatancek berkala itu pasti di bengkel resmi bukan bengkel umum,Netral,0.86,ok,,,,
2025-10-30 01:51:41+00:00,@petergarbiel,"Efisiensi Listrik = 73% / hidrogen = 22% / bensin = 13% . energi bersih solar panel, turbin angin, nuklir semua menghasilkan listrik bersih semakin murah setiap tahunnya,rata2 turun 10%/tahun .  jadi ambil kesimpulan sendiri, masa depan mana yg jadi pilihan",1,efisiensi listrik hidrogen bensin energi bersih solar panel turbin angin nuklir semua menghasilkan listrik bersih semakin murah setiap tahunnyarata turun tahun jadi ambil kesimpulan sendiri masa depan mana yg jadi pilihan,Netral,0.84,ok,,,,
2025-11-06 01:36:57+00:00,@Vladimirnikolai33,"Entah ini sengaja dilebih-lebihkan atau gimana. 300kg baterai listrik itu bukan 100% Lithium tapi cuma 4,4% (LIFEPO4) ,dari 300 kg itupun bobot sel aktif baterai masih dibawah 50% ,lebih banyak bobot struktur casing, pendingin dan BMS.",2,entah ini sengaja dilebihlebihkan atau gimana kg baterai listrik itu bukan lithium tapi cuma lifepo dari kg itupun bobot sel aktif baterai masih dibawah lebih banyak bobot struktur casing pendingin dan bms,Netral,0.78,ok,,,,
2025-11-01 08:42:57+00:00,@martin3708,"Ga bisa di compare. Keduanya beda perspective, dan masing2 ada benarnya. Perspective om Fitra Eri sebagai reviewer mobil. Dokter mobil ambil perspective sebagai teknisi bengkel, dari segi repairability &amp; sustainability.<br><br>Bahkan sekelas Fitra Eri kayaknya saya belum pernah lihat bahas detail sampai asal muasal baterai mobIl EV (dampak penambangan mineral nya) dan dampak limbah baterai bekas nya.",0,ga bisa di compare keduanya beda perspective dan masing ada benarnya perspective om fitra eri sebagai pengulas mobil dokter mobil ambil perspective sebagai teknisi bengkel dari segi repairability amp sustainabilitybrbrbahkan sekelas fitra eri kayaknya saya belum pernah lihat bahas detail sampai asal muasal baterai mobil electric vehicle dampak penambangan mineral nya dan dampak limbah baterai bekas nya,Netral,0.78,ok,,,,
2025-10-29 13:00:38+00:00,@Hiwind994,"​@alhumaididjais801 gk nyambung lah, yg di mobil ice itu batre nya kan bukan jadi penyimpan tenaga motor listrik. Sedangkan mobil hidrogen, hibrid, batrenya dijadiin tenaga buat penggerak.",0,gk nyambung lah yg di mobil ice itu baterai nya kan bukan jadi penyimpan tenaga motor listrik sedangkan mobil hidrogen hybrid baterai dijadiin tenaga buat penggerak,Netral,0.86,ok,,,,
2025-10-25 15:56:24+00:00,@leosteephanow8058,"Gua tinggal di China ,<br>Dan rata rata mobil listrik .<br>Udara di sini yg gua rasain lebih segar, mungkin karena tidak terlalu polusi.<br>Tapi memang untuk membuat mobil listrik ada yg di korbankan.<br>Kita liat aja ke depan apakah mobil hidrogen bisa mengalahkan EV .",15,gua tinggal di china dan rata rata mobil listrik udara di sini yg gua rasain lebih segar mungkin karena tidak terlalu polusi tapi memang untuk membuat mobil listrik ada yg di korbankan kita liat aja ke depan apakah mobil hidrogen bisa mengalahkan electric vehicle,Netral,0.86,ok,,,,
2025-11-15 09:53:24+00:00,@JohnHaris-l6c,"iya aku juga yang kadang baca berita tentang mobil listrik sama mobil ice, mobil ice jelas lebih polusi ketimbang listrik tapi disini kok seakan akan listrik lebih buruk dan polusi ya, apa guanya yg salah baca berita atau apa ya? haha",0,iya aku juga yang kadang baca berita tentang mobil listrik sama mobil ice mobil ice jelas lebih polusi ketimbang listrik tapi disini kok seakan akan listrik lebih buruk dan polusi ya apa guanya yg salah baca berita atau apa ya haha,Netral,0.78,ok,,,,
2025-10-29 02:27:46+00:00,@achmadfauzan507,Iya green hydrogen baru beberapa negara yg make elektrolisis karena listrik mereka udah surplus pake pembangkit tenaga terbarukan.,0,iya green hydrogen baru beberapa negara yg make elektrolisis karena listrik mereka udah surplus pake pembangkit tenaga terbarukan,Netral,0.96,ok,,,,
2025-10-28 03:15:59+00:00,@rahman1758,"jadi gini, awalnya eropa jepang n amerika kampanye mobil listrik bagus, trs datang cina unggul dr mereka, jadi mereka ketar ketir dong makanya dikompanye kan lah mobil listrik gini gitu, udah dijelasin sma fitra eri di chanel raditiya dika",1,jadi gini awalnya eropa jepang n amerika kampanye mobil listrik bagus trs datang cina unggul dr mereka jadi mereka ketar ketir dong makanya dikompanye kan lah mobil listrik gini gitu udah dijelasin sma fitra eri di chanel raditiya dika,Netral,0.78,ok,,,,
2025-11-17 05:30:59+00:00,@bayupurwantara7564,Jadi sebetulnya mobil Ev atau pun lu pakai kompor listrik yg ramah lingkungan... pemusatan dampak lingkungam atau polusi terpusat.😂  lebih baik kah?.,0,jadi sebetulnya mobil electric vehicle atau pun lu pakai kompor listrik yg ramah lingkungan pemusatan dampak lingkungam atau polusi terpusat lebih baik kah,Netral,0.86,ok,,,,
2025-11-01 06:13:09+00:00,@interfaceadmin3942,"Jika mobil listrik perusak lingkungan, bgm dengan ponsel dan laptop?",1,jika mobil listrik perusak lingkungan bgm dengan ponsel dan laptop,Netral,0.86,ok,,,,
2025-10-26 17:03:54+00:00,@bhondho,"Kalau hidrogen hasil elektrolisis, berapa kWh listrik yg dipakai menghasilkan 1kg hidrogen? Kenapa ga simpan aja listriknya ke baterai? Ngerti kan? Kenapa teknologi hidrogen belum mainstream?",1,kalau hidrogen hasil elektrolisis berapa kwh listrik yg dipakai menghasilkan kg hidrogen kenapa ga simpan aja listriknya ke baterai ngerti kan kenapa teknologi hidrogen belum mainstream,Netral,0.88,ok,,,,
2025-10-27 03:37:50+00:00,@ohbegitu5045,"Kalo kalian ke ciputat, tangerang selatan bekas carefour ciputat. ada BANYAK mobil BYD diparkir di situ berbulan-bulan lamanya, tanpa atap apa-apa panas terik ujan2an. tempat parkirnya jg ga layak lah untuk ukuran mobil mewah.. dulu saya kira itu mobil bekas. pas tanya tukang nasi goreng di depannya ternyata mobil baru semua.<br><br>baru bulan ini mereka lagi ngebangun, sepertinya jadi kantor BYD. dulu mah bener2 bekas carefour kosong. ditaro gitu aja<br><br>pertanyaan saya dari video, katanya mobil listrik cycling trs batrenya. kalo yg kasus dijemur berbulan-bulan gini, berarti baterainya dicopot dulu ya?",0,kalo kalian ke ciputat tangerang selatan bekas carefour ciputat ada banyak mobil byd diparkir di situ berbulanbulan lamanya tanpa atap apaapa panas terik ujanan tempat parkirnya jg ga layak lah untuk ukuran mobil mewah dulu saya kira itu mobil bekas pas tanya tukang nasi goreng di depannya ternyata mobil baru semua baru bulan ini mereka lagi ngebangun sepertinya jadi kantor byd dulu mah bener bekas carefour kosong ditaro gitu aja pertanyaan saya dari video katanya mobil listrik cycling trs baterai kalo yg kasus dijemur berbulanbulan gini berarti baterainya dicopot dulu ya,Netral,0.74,"sudah_review
netral",,,,
2025-10-27 08:11:42+00:00,@Bomerzz,"Kalo menurut saya sih.... Sebener nya yes and no.<br><br>Yes = Produksi mobil EV memang menghasilkan emisi lebih tinggi dibandingkan produksi mobil ICE. Tapi secara jangka panjang, ujung2 nya lebih ramah lingkungan EV dibanding ICE. Karna mobil kan dipake toh? Emisi gas buang akan terus di produksi selama di pake (mobil ICE), sedangkan molis, mau lu pake sampe batre nya rusak itu uda ga ada emisi. <br><br>Yes = Batre ada umur pake nya, dan berpotensi jadi limbah batre kalau tidak ditangani dengan baik.<br><br>Yes = Hybrid lebih OK untuk sekarang karna ya ga perlu charging, tinggal isi bensin aja uda bisa tenang jalan jarak jauh dan kalo msti ganti batre juga mungkin ga semahal EV.<br><br>No = Penggunaan rare earth mineral gak sebanyak yang ko Lulung jelasin (sampe ratusan KG untuk 1 mobil), coba cari tau dulu kebenarannya dan Batre itu gak pake rare earth mineral. Yang pake Rare earth itu adalah komponen dari motor listrik. Dan lithium itu tidak termasuk kategori rare earth mineral (google gih) heheh...<br><br>No = &quot;Hydrogen is the future..&quot; Dan lebih &quot;hijau&quot; dibanding Electric. Produksi untuk Gas Hydrogen itu menghasilkan emisi lebih banyak (Grey hydrogen), kalo produksi nya Green hydrogen iya lebih rendah emisi. (google aja coba), infrastruktur pengisian Hyrdogen juga MAHAL (coba pikir aja jepang uda punya toyota Mirai dari tahun kapan, tapi smp skrg cmn jadi pajangan)<br><br>TLDR Hybrid menjadi pilihan tepat saat ini... (terutama di Indo yg infrastruktur EV nya masih terbatas), dan jangan ngarep Hydrogen di indo :)",15,kalo menurut saya sih sebener nya yes and nobrbryes produksi mobil electric vehicle memang menghasilkan emisi lebih tinggi dibandingkan produksi mobil ice tapi secara jangka panjang ujung nya lebih ramah lingkungan electric vehicle dibanding ice karna mobil kan dipake toh emisi gas buang akan terus di produksi selama di pake mobil ice sedangkan mobil listrik mau lu pake sampe baterai nya rusak itu uda ga ada emisi brbryes baterai ada umur pake nya dan berpotensi jadi limbah baterai kalau tidak ditangani dengan baikbrbryes mobil hybrid lebih ok untuk sekarang karna ya ga perlu charging tinggal isi bensin aja uda bisa tenang jalan jarak jauh dan kalo msti ganti baterai juga mungkin ga semahal evbrbrno penggunaan rare earth mineral gak sebanyak yang ko lulung jelasin sampe ratusan kg untuk mobil coba cari tau dulu kebenarannya dan baterai itu gak pake rare earth mineral yang pake rare earth itu adalah komponen dari motor listrik dan lithium itu tidak termasuk kategori rare earth mineral google gih hehehbrbrno quothydrogen is the futurequot dan lebih quothijauquot dibanding electric produksi untuk gas hydrogen itu menghasilkan emisi lebih banyak grey hydrogen kalo produksi nya green hydrogen iya lebih rendah emisi google aja coba infrastruktur pengisian hyrdogen juga mahal coba pikir aja jepang uda punya toyota mirai dari tahun kapan tapi smp skrg cmn jadi pajanganbrbrtldr mobil hybrid menjadi pilihan tepat saat ini terutama di indo yg infrastruktur electric vehicle nya masih terbatas dan jangan ngarep hydrogen di indo,Netral,0.92,ok,,,,
2025-10-25 16:46:27+00:00,@samkolinug,kata seseorang yg mereview  EV &quot;Seakan-akan mobil ini menyapa lingkungan sekitar pada pohon dan bunga di taman&quot;,6,kata seseorang yg mereview electric vehicle quotseakanakan mobil ini menyapa lingkungan sekitar pada pohon dan bunga di tamanquot,Netral,0.86,ok,,,,
2025-10-29 06:19:42+00:00,@AllOfMe2017,"Kita akan lihat beberapa tahun kedepan apakah koh lung lung akan konsisten terhadap  pandangannya tentang EV, yang gua tau selama ini dia orang yang enggak EV banget , tapi baru disini gue tau kalau dia pro ke mobil hydrogen, padahal mobil hydrogen pake baterai juga..",0,kita akan lihat beberapa tahun kedepan apakah koh lung lung akan konsisten terhadap pandangannya tentang electric vehicle yang gua tau selama ini dia orang yang enggak electric vehicle banget tapi baru disini gue tau kalau dia pro ke mobil hydrogen padahal mobil hydrogen pake baterai juga,Netral,0.78,ok,,,,
2025-10-28 10:03:00+00:00,@YogiDoiki,Kita liat kedepannya apakah si 2 tamu ini nantinya akan membeli mobil listrik? Gue yakin sih semua bakal mobil listrik pada waktu ya,0,kita liat kedepannya apakah si tamu ini nantinya akan membeli mobil listrik gue yakin sih semua bakal mobil listrik pada waktu ya,Netral,0.78,ok,,,,
2025-10-30 05:16:14+00:00,@vhinokio,klo casan nya rusak mobil listrik bisa pake casan kodok gak ya?,0,klo charger nya rusak mobil listrik bisa pake charger kodok gak ya,Netral,0.95,ok,,,,
2025-10-27 17:31:37+00:00,@miracleboy9731,"lah dia udah belajar ev sampe ke luar negeri, bahkan bengkelnya udah certified buat servis hybrid dan ev. gimana ceritanya wkwkw",0,lah dia udah belajar electric vehicle sampe ke luar negeri bahkan bengkelnya udah certified buat servis mobil hybrid dan electric vehicle gimana ceritanya wkwkw,Netral,0.78,ok,,,,
2025-11-03 10:00:45+00:00,@farhanadli5857,"Masuk akal, makanya pabrikan jepang gamau bikin ev. Mereka lebih fokus hidrogen atau hybrid",0,masuk akal makanya pabrikan jepang gamau bikin electric vehicle mereka lebih fokus hidrogen atau mobil hybrid,Netral,0.78,ok,,,,
2025-10-27 04:27:56+00:00,@Alodyos,"@JokoSoewidodo mereka bikin juga bengkel hybrid dan EV, jadi kalo dibilang argumenmu ga sepenuhnya valid juga sih.",1,mereka bikin juga bengkel mobil hybrid dan electric vehicle jadi kalo dibilang argumenmu ga sepenuhnya valid juga sih,Netral,0.84,ok,,,,
2025-11-03 23:02:19+00:00,@abrahamchandra2966,"Mobil masa depan adalah hidrogen dan toyota sudah mengembangkannya namun blm mau mengeluarkannya.. <br><br>Nanti giliran china yg membuat mobil hidrogen dan memproduksinya secara masif dgn harga yg terjangkau, pst komen jepang beda lagi. Bla bla bla<br><br>Dulu waktu EV blm populer, jepang sudah duluan produksi EV dibanding china.. trs kalau EV itu merusak lingkungan, knp jepang memproduksi EV duluan?? <br><br>Faktanya EV jepang mahal, kalah saing sama china.. ini akan terjadi lg apabila mobil hidrogen bs diproduksi china dgn harga yg murah. Pst jepang akan banyak alasan kayak kekalahan mereka di EV lawan china.<br><br>Dan kenapa jepang yg sudak sukses mengembangkan teknologi hidrogen, tdk membuat mobil untuk dijual secara massal dalam waktu dekat?? Krn mereka berkaca dr kekalahan mereka dgn china di sektor EV. seperti yg gw bilang, jepang sudah duluan memproduksi EV, dan seperti yg kita tau, china itu meniru, membuat dan memodifikasi produk yg sudah ada. Dan Cilakanya, dijual dgn harga yg sangat terjangkau. Jepang sengaja menunda dan menunggu momentum agar teknologi mereka tdk dijual oleh china dgn harga yg murah.<br><br>Dan bnyk yg bilang china itu gak akan ke hidrogen. Ingat lho, pemerintah china itu otoriter. Mereka gampang bikin aturan dan menwajibkan warga negaranya mengganti jenis mobil. Dr kendaraan bensin ke EV saja, china hanya membutihkan kurang lebih 5thn untuk memigrasikan itu semua..",2,mobil masa depan adalah hidrogen dan toyota sudah mengembangkannya namun blm mau mengeluarkannya brbrnanti giliran china yg membuat mobil hidrogen dan memproduksinya secara masif dgn harga yg terjangkau pst komen jepang beda lagi bla bla blabrbrdulu waktu electric vehicle blm populer jepang sudah duluan produksi electric vehicle dibanding china trs kalau electric vehicle itu merusak lingkungan knp jepang memproduksi electric vehicle duluan brbrfaktanya electric vehicle jepang mahal kalah saing sama china ini akan terjadi lg apabila mobil hidrogen bs diproduksi china dgn harga yg murah pst jepang akan banyak alasan kayak kekalahan mereka di electric vehicle lawan chinabrbrdan kenapa jepang yg sudak sukses mengembangkan teknologi hidrogen tdk membuat mobil untuk dijual secara massal dalam waktu dekat krn mereka berkaca dr kekalahan mereka dgn china di sektor electric vehicle seperti yg gw bilang jepang sudah duluan memproduksi electric vehicle dan seperti yg kita tau china itu meniru membuat dan memodifikasi produk yg sudah ada dan cilakanya dijual dgn harga yg sangat terjangkau jepang sengaja menunda dan menunggu momentum agar teknologi mereka tdk dijual oleh china dgn harga yg murahbrbrdan bnyk yg bilang china itu gak akan ke hidrogen ingat lho pemerintah china itu otoriter mereka gampang bikin aturan dan menwajibkan warga negaranya mengganti jenis mobil dr kendaraan bensin ke electric vehicle saja china hanya membutihkan kurang lebih thn untuk memigrasikan itu semua,Netral,0.78,ok,,,,
2025-10-26 03:30:10+00:00,@slowmotionstimelapse7889,"Nggak harus juga di telan mentah-mentah. Bensin juga dihasilkan dari tambang dan polusi mobil bensin atao solar langsung dari mobilnya. Mobil listrik nggak ngeliarin emisi langsung.<br><br>Mobil hybrid atau hidrogen pun juga nggak se indah itu. Efisiensi nya juga masih rendah. Menghasilkan hidrogen dari elektrolisis juga butuh energi yg besar.<br><br>Jadi mari kita tunggu saja perkembangannnya, teknologi mana yg bakal menguasi dunia.<br><br>Kita tinggal perbanyak informasi dan pilih sesuai kebutuhan. Hail Suzuki Wagon R 😂",0,nggak harus juga di telan mentahmentah bensin juga dihasilkan dari tambang dan polusi mobil bensin atao solar langsung dari mobilnya mobil listrik nggak ngeliarin emisi langsungbrbrmobil mobil hybrid atau hidrogen pun juga nggak se indah itu efisiensi nya juga masih rendah menghasilkan hidrogen dari elektrolisis juga butuh energi yg besarbrbrjadi mari kita tunggu saja perkembangannya teknologi mana yg bakal menguasi duniabrbrkita tinggal perbanyak informasi dan pilih sesuai kebutuhan hail suzuki wagon r,Netral,0.84,ok,,,,
2025-11-19 20:08:31+00:00,@johaneschenlie2904,"Orang kaya pasti pilih mobil listrik, karena mobil buat pakai habis , dan pasti afkir , tidak ribet ganti oli , air radiator dllnya , makanya mereka pilih mobil listrik",1,orang kaya pasti pilih mobil listrik karena mobil buat pakai habis dan pasti afkir tidak ribet ganti oli air radiator dllnya makanya mereka pilih mobil listrik,Netral,0.78,ok,,,,
2025-10-27 10:34:14+00:00,@kasilworks7223,"Perawatan ICE emang banyak, perlu ketelitian karena parts penghubung fluida itu saling berkaitan.<br>TAPI bukan berarti EV lebih baik dari ICE, secara lingkungan gw masih bisa bilang dengan cekek ICE pake euro 5 6 7 8 itu more better dengan kompensasi tenaganya di cut",0,perawatan ice emang banyak perlu ketelitian karena parts penghubung fluida itu saling berkaitan tapi bukan berarti electric vehicle lebih baik dari ice secara lingkungan gw masih bisa bilang dengan cekek ice pake euro itu more better dengan kompensasi tenaganya di cut,Netral,0.74,"sudah_review
netral",,,,
2025-12-15 18:57:15+00:00,@bangkens,"Saya karyawan batrei mobil listrik,<br>1 mobil ga butuh 300 kg litium.<br><br>Contoh saja batrei yang saya produksi Untuk Wuling air ev berat batre nya sekitar 200kg<br>Apakah semua butuh litium 200kg? Engga.<br> Wuling air ev hanya butuh 4kg litium sisanya besi dan fosfat. <br><br>Semua mobil listrik kandungan litium nya sangat kecil, jadi sangat2 hoax jika 1 mobil membutuhkan 300kg, terimakasih",5,saya karyawan baterai mobil listrik mobil ga butuh kg litiumbrbrcontoh saja baterai yang saya produksi untuk wuling air electric vehicle berat baterai nya sekitar kgbrapakah semua butuh litium kg enggabr wuling air electric vehicle hanya butuh kg litium sisanya besi dan fosfat brbrsemua mobil listrik kandungan litium nya sangat kecil jadi sangat hoax jika mobil membutuhkan kg terimakasih,Netral,0.86,ok,,,,
2025-11-11 16:33:58+00:00,@jameroqui8835,"Untuk memproduksi hidrogen perlu energi gede juga. Trs energinya darimana? Listrik juga? Yg pembangkit listrik nya  pake batubara, tenaga uap, nuklir atau diesel? Penharuh ke lingkungan juga gak?",0,untuk memproduksi hidrogen perlu energi gede juga trs energinya darimana listrik juga yg pembangkit listrik nya pake batubara tenaga uap nuklir atau mesin diesel penharuh ke lingkungan juga gak,Netral,0.86,ok,,,,
