Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
akhirnya ttp beli electric vehicle sebenernya pengen bgt mobil hybrid tapi masalahnya sekarang bensin ngantri belum tentu pom pom bagus ditutup sama paling ultimate sih pajak kendaraan bermotor kalo mobil hybrid pajak tahunannya x pajak electric vehicle sih for sure ambil mobil hybrid,-1,-1_mobil_listrik_vehicle_electric,"['mobil', 'listrik', 'vehicle', 'electric', 'beli', 'kalo', 'untuk', 'harga', 'buat', 'sama']","['br justru karena dr mobil mekanik paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury berfokus pada electric vehicle karena buyer kelas suka dgn electric vehicle suka dgn mobil ice karena lebih seni amp kelasnya menikmati raungan mesin langkah diambil porsche gaada impactnya userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus ingat semakin banyak electric vehicle keluar baik usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car untuk ramah lingkungan untuk menghemat maintenance amp aftermarket price jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap hasil tambang amp untuk maintenancenya ketika baterai drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe afterpricenyabr cycle electric vehicle car desain untuk digunakan tahun atasbr untuk keamanan pernah liat berita ceo big company tewas dengan electric vehicle car karena electric vehicle car tiba out of control hack', 'mobil listrik atau motor listrik cocoknya mobilitas tinggibrklo dibawah kmhari masih mending pakai konvensional brklo kita pas baru punya mobil biasanya semangat pakai mobil tapi begitu tahu rasanya paling pakai mobil pas keluar bareng sama anak istri saja untuk kerja tiap hari lebih enak pakai motorbrmobil listrik paling murah jt cuma dapat wuling cuma dipakai kota sajabrklo mobil konvensional sudah banyak pilihan hrga segitubrmobil listrik tahun kedepan sudah saatnya ganti baterai ganti jt an pingin pastinya mau beli juga pikir untuk beli bekas karena sudah saatnya ganti batreibrmobil konvensional tahun kedepan bosen dijual lagi masih laku untuk nambah beli mobil baru', 'intinya gini mobil listrik cocoknya jadi mobil kedua karena mobil listrik cocok untuk perjalanan luar kota jarak jauh sebab kita butuh mengisi daya tempat mengisi daya belum tentu diperjalanan kita belum lagi jika ngantri waktu ngisinya juga lama mobil listrik dipakainya buat jarak dekat buat kepasar ngantar sekolah pergi ketempat kerja belanja dll sering digunakan sehari namun dalam jarak dekatbrbrdengan harga sama kalian dapat mobil konvensional sangat jauh lebih nyaman mobil listrik jadi kalau kalian nyari kenyamanan mobil listrik bukan jawabanya karena kalah jauh contohnya air electric vehicle harga jt dengan harga segitu kalian dapat xpander ultimate kelas kenyamanan sudah pasti beda jauh contoh lagi hyundai hyundai ioniq dengan harga jt lebih dengan harga segini kalian dapat toyota corolla kelas paling tinggi masih kembalian jt itupun hyundai ioniq masih apanya dalam hal kenyamanan kemewahanbrbrpenggunaan jangka panjang juga akan sulit dicapai oleh mobil listrik karena baterai pasti akan drop mengganti baterai sangatlah mahal']",mobil - listrik - vehicle - electric - beli - kalo - untuk - harga - buat - sama,0.0,False
aki mobil mobil mahalgmna ganti aki mobil sebanyak pake mobil listrik hampir sama harga mobilnya untung blm jadi beli mobil listrik,-1,-1_mobil_listrik_vehicle_electric,"['mobil', 'listrik', 'vehicle', 'electric', 'beli', 'kalo', 'untuk', 'harga', 'buat', 'sama']","['br justru karena dr mobil mekanik paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury berfokus pada electric vehicle karena buyer kelas suka dgn electric vehicle suka dgn mobil ice karena lebih seni amp kelasnya menikmati raungan mesin langkah diambil porsche gaada impactnya userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus ingat semakin banyak electric vehicle keluar baik usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car untuk ramah lingkungan untuk menghemat maintenance amp aftermarket price jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap hasil tambang amp untuk maintenancenya ketika baterai drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe afterpricenyabr cycle electric vehicle car desain untuk digunakan tahun atasbr untuk keamanan pernah liat berita ceo big company tewas dengan electric vehicle car karena electric vehicle car tiba out of control hack', 'mobil listrik atau motor listrik cocoknya mobilitas tinggibrklo dibawah kmhari masih mending pakai konvensional brklo kita pas baru punya mobil biasanya semangat pakai mobil tapi begitu tahu rasanya paling pakai mobil pas keluar bareng sama anak istri saja untuk kerja tiap hari lebih enak pakai motorbrmobil listrik paling murah jt cuma dapat wuling cuma dipakai kota sajabrklo mobil konvensional sudah banyak pilihan hrga segitubrmobil listrik tahun kedepan sudah saatnya ganti baterai ganti jt an pingin pastinya mau beli juga pikir untuk beli bekas karena sudah saatnya ganti batreibrmobil konvensional tahun kedepan bosen dijual lagi masih laku untuk nambah beli mobil baru', 'intinya gini mobil listrik cocoknya jadi mobil kedua karena mobil listrik cocok untuk perjalanan luar kota jarak jauh sebab kita butuh mengisi daya tempat mengisi daya belum tentu diperjalanan kita belum lagi jika ngantri waktu ngisinya juga lama mobil listrik dipakainya buat jarak dekat buat kepasar ngantar sekolah pergi ketempat kerja belanja dll sering digunakan sehari namun dalam jarak dekatbrbrdengan harga sama kalian dapat mobil konvensional sangat jauh lebih nyaman mobil listrik jadi kalau kalian nyari kenyamanan mobil listrik bukan jawabanya karena kalah jauh contohnya air electric vehicle harga jt dengan harga segitu kalian dapat xpander ultimate kelas kenyamanan sudah pasti beda jauh contoh lagi hyundai hyundai ioniq dengan harga jt lebih dengan harga segini kalian dapat toyota corolla kelas paling tinggi masih kembalian jt itupun hyundai ioniq masih apanya dalam hal kenyamanan kemewahanbrbrpenggunaan jangka panjang juga akan sulit dicapai oleh mobil listrik karena baterai pasti akan drop mengganti baterai sangatlah mahal']",mobil - listrik - vehicle - electric - beli - kalo - untuk - harga - buat - sama,0.0,False
aku kalo motor listrik sih ok karena aku sudah pakai selama tahunbrtapi kalo mobil masih belum terima terlepas masalah kelestarian alambrkarena roda masih terlalu kompleks kalo harus dilistrikkanbrharusnya pemerintah fokus roda listrik,-1,-1_mobil_listrik_vehicle_electric,"['mobil', 'listrik', 'vehicle', 'electric', 'beli', 'kalo', 'untuk', 'harga', 'buat', 'sama']","['br justru karena dr mobil mekanik paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury berfokus pada electric vehicle karena buyer kelas suka dgn electric vehicle suka dgn mobil ice karena lebih seni amp kelasnya menikmati raungan mesin langkah diambil porsche gaada impactnya userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus ingat semakin banyak electric vehicle keluar baik usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car untuk ramah lingkungan untuk menghemat maintenance amp aftermarket price jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap hasil tambang amp untuk maintenancenya ketika baterai drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe afterpricenyabr cycle electric vehicle car desain untuk digunakan tahun atasbr untuk keamanan pernah liat berita ceo big company tewas dengan electric vehicle car karena electric vehicle car tiba out of control hack', 'mobil listrik atau motor listrik cocoknya mobilitas tinggibrklo dibawah kmhari masih mending pakai konvensional brklo kita pas baru punya mobil biasanya semangat pakai mobil tapi begitu tahu rasanya paling pakai mobil pas keluar bareng sama anak istri saja untuk kerja tiap hari lebih enak pakai motorbrmobil listrik paling murah jt cuma dapat wuling cuma dipakai kota sajabrklo mobil konvensional sudah banyak pilihan hrga segitubrmobil listrik tahun kedepan sudah saatnya ganti baterai ganti jt an pingin pastinya mau beli juga pikir untuk beli bekas karena sudah saatnya ganti batreibrmobil konvensional tahun kedepan bosen dijual lagi masih laku untuk nambah beli mobil baru', 'intinya gini mobil listrik cocoknya jadi mobil kedua karena mobil listrik cocok untuk perjalanan luar kota jarak jauh sebab kita butuh mengisi daya tempat mengisi daya belum tentu diperjalanan kita belum lagi jika ngantri waktu ngisinya juga lama mobil listrik dipakainya buat jarak dekat buat kepasar ngantar sekolah pergi ketempat kerja belanja dll sering digunakan sehari namun dalam jarak dekatbrbrdengan harga sama kalian dapat mobil konvensional sangat jauh lebih nyaman mobil listrik jadi kalau kalian nyari kenyamanan mobil listrik bukan jawabanya karena kalah jauh contohnya air electric vehicle harga jt dengan harga segitu kalian dapat xpander ultimate kelas kenyamanan sudah pasti beda jauh contoh lagi hyundai hyundai ioniq dengan harga jt lebih dengan harga segini kalian dapat toyota corolla kelas paling tinggi masih kembalian jt itupun hyundai ioniq masih apanya dalam hal kenyamanan kemewahanbrbrpenggunaan jangka panjang juga akan sulit dicapai oleh mobil listrik karena baterai pasti akan drop mengganti baterai sangatlah mahal']",mobil - listrik - vehicle - electric - beli - kalo - untuk - harga - buat - sama,0.0,False
aku team bensin hybri paling lope lope sama hidrogenbrbrjujur mobil listrik sumber polutan paling gede brsisa baterai lohbrbelum tambang bahan baterai brberhektar hektar cuma dapet dikit litium brngecas lama,1,1_baterai_harga_mobil_tahun,"['baterai', 'harga', 'mobil', 'tahun', 'lebih', 'ganti', 'electric', 'vehicle', 'listrik', 'lagi']","['narasumber terlalu tendensius pro jepang dibilang rata tahun baterai listrik sudah harus ganti tapi dibilang jenis apakah lfp nmc dsb berapa km pemakaian dibahas berapa life cycle baterai dibilang kandungan lithium dalam baterai sampai kg untuk baterai lfp banyak dipakai saat kandungan lithium hanya berat baterai kg berarti hanya kg lithium dipakai listrik disebut merusak lingkungan tapi dibahas mengenai udara perkotaan jadi lebih bersih polusi asap sumber listrik hanya batubara tapi banyak bauran listrik terbarukan lebih hijau juga dibahas teknologi baterai bakal terus berkembang semakin efisien bersih dengan macam material hanya nickel amp lithium tapi teknologi hidrogen akan mentok terbatas oleh fisik tangki sangat besar juga resiko meledak membahayakan penumpang seakan kita mengendarai bom berjalan infrastruktur hidrogen terbatas hanya ditempat tertentu listrik mengisi daya rumah masing', 'kalau tahun kedepan harga mobil bekas turun mungkin bawah juta dengan catatan baterai masih baik jika baterai bermasalah harga baterai sudah sekitar jutan mungkin harga mobil tanpa baterai harga jutaan kalau harga baterai tahun mendatang masih atas juta jadi harga mobil tinggal jutaan tanpa baterai bahkan lebih kecil maka ambil harga mobil rupah anggal mau ambil mobil bekas tanpa baterai', 'ketawa dengerin narasumber punya info baru ataupun terbaru kalau lihat channelnya semua diomongkan disini semua disana artinya uda settingan pabriknya mari kita lihat per permasalahannya electric vehicle lebih polusi daripada ice betul tapi dalam hal produksi saja kalau dilihat pemakaian kendaraannya electric vehicle jauh lebih ramah lingkungan coba hitung total polusi ice battery electric vehicle dalam waktu tahun operasional masalah garansi baterai tahun diberi jaminan bahwa kapasitas baterai pasti gt tapi apakah artinya lepas masa garansi rusak harus diganti baterai hape kalian dipakai sampai berapa persen kesehatan baterai disini ditarik kesimpulannya sendiri lagipula kalau tahun turun pakai tahun turun hitung bodohan jadi masi dipakai jarak max ditawarkan toyota electric vehicle rilis tahun china adalah rebadge gac salah satu merk electric vehicle gac aion kenapa karena toyota mampu membuat baterai sendiri sebaik semurah pabrikan china jalan paling cepat rebadge nickel oh nickel selalu jadi kambing hitam baterai lfp nikel pakai nikel baterai nmc baterai lama dipakai oleh mobil hybrid toyota kabarnya sih begitu correct me if im wrong bahas masalah maintenance ice harus rutin ganti oli dkk electric vehicle cuma oli gardan masalah kaki electric vehicle lebih boros ban kenapa dibahas karena narasumber jualan pelumas mobil hybrid masi harus ganti oli ditambah harus rawat baterai lebih boncos hydrogen anak emas pabrikan jepang permasalahan h adalah produksi penyimpanannya untuk ekstrak h perlu listrik penyimpanannya lebih ribet karena suhu kalau mau ngomong ramah lingkungan penghematan energi untuk saat h bukan jawabannya ntah kalau tiba technological leap buat h lebih efektif lainkali coba cari narasumber pro battery electric vehicle pro ice biar lebih netral']",baterai - harga - mobil - tahun - lebih - ganti - electric - vehicle - listrik - lagi,0.40221477479804113,False
anti mobil listrik aku mh,2,2_electric_vehicle_air_listrik,"['electric', 'vehicle', 'air', 'listrik', 'mobil', 'pake', 'masih', 'punya', 'wuling', 'mulai']","['hahahahaa air electric vehicle mampus gua kasian ama beli air electric vehicle', 'harusnya byd jg buat versi mini setipe sama air electric vehicle karena pasar beda beli air electric vehicle utamain kepraktisan bawa jalan sempit padat br brdan indo masih blm mengubah mindset electric vehicle adalah quotmobil keduaquot buat jarak dekat efisiensi transport harian kebayang rebutan charger stasiun pengisian kendaraan listrik umum istirahat areabrmobil bensin seater masih jadi utama', 'air electric vehicle lite harus facelift gunakan lampu utama led agar lebih menarik karna lampu bohlam ayam jadul terlihat tua jelek pencahayaan kurang kurang efisiensi atau datangkan wuling baojun kiwi electric vehicle gsev atau datangkan hongguang mini electric vehicle pintu']",electric - vehicle - air - listrik - mobil - pake - masih - punya - wuling - mulai,1.0,False
bahas sejarahbrkalo vedio diatas bayar mafia minyak cuma tuduhan kau ajabrsedangkan video membahas cara buat mobil listrik lebih merusak lingkungan sedangkan mobil bahan bakar minyak juga sama punya imbas lingkungan bilang untuk lebih ramah hidrogen circle awal jelasbrkenapa menyanggah,-1,-1_mobil_listrik_vehicle_electric,"['mobil', 'listrik', 'vehicle', 'electric', 'beli', 'kalo', 'untuk', 'harga', 'buat', 'sama']","['br justru karena dr mobil mekanik paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury berfokus pada electric vehicle karena buyer kelas suka dgn electric vehicle suka dgn mobil ice karena lebih seni amp kelasnya menikmati raungan mesin langkah diambil porsche gaada impactnya userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus ingat semakin banyak electric vehicle keluar baik usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car untuk ramah lingkungan untuk menghemat maintenance amp aftermarket price jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap hasil tambang amp untuk maintenancenya ketika baterai drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe afterpricenyabr cycle electric vehicle car desain untuk digunakan tahun atasbr untuk keamanan pernah liat berita ceo big company tewas dengan electric vehicle car karena electric vehicle car tiba out of control hack', 'mobil listrik atau motor listrik cocoknya mobilitas tinggibrklo dibawah kmhari masih mending pakai konvensional brklo kita pas baru punya mobil biasanya semangat pakai mobil tapi begitu tahu rasanya paling pakai mobil pas keluar bareng sama anak istri saja untuk kerja tiap hari lebih enak pakai motorbrmobil listrik paling murah jt cuma dapat wuling cuma dipakai kota sajabrklo mobil konvensional sudah banyak pilihan hrga segitubrmobil listrik tahun kedepan sudah saatnya ganti baterai ganti jt an pingin pastinya mau beli juga pikir untuk beli bekas karena sudah saatnya ganti batreibrmobil konvensional tahun kedepan bosen dijual lagi masih laku untuk nambah beli mobil baru', 'intinya gini mobil listrik cocoknya jadi mobil kedua karena mobil listrik cocok untuk perjalanan luar kota jarak jauh sebab kita butuh mengisi daya tempat mengisi daya belum tentu diperjalanan kita belum lagi jika ngantri waktu ngisinya juga lama mobil listrik dipakainya buat jarak dekat buat kepasar ngantar sekolah pergi ketempat kerja belanja dll sering digunakan sehari namun dalam jarak dekatbrbrdengan harga sama kalian dapat mobil konvensional sangat jauh lebih nyaman mobil listrik jadi kalau kalian nyari kenyamanan mobil listrik bukan jawabanya karena kalah jauh contohnya air electric vehicle harga jt dengan harga segitu kalian dapat xpander ultimate kelas kenyamanan sudah pasti beda jauh contoh lagi hyundai hyundai ioniq dengan harga jt lebih dengan harga segini kalian dapat toyota corolla kelas paling tinggi masih kembalian jt itupun hyundai ioniq masih apanya dalam hal kenyamanan kemewahanbrbrpenggunaan jangka panjang juga akan sulit dicapai oleh mobil listrik karena baterai pasti akan drop mengganti baterai sangatlah mahal']",mobil - listrik - vehicle - electric - beli - kalo - untuk - harga - buat - sama,0.0,False
benar jg sih pom bensin udh bnyk dimana masih antri panjang jam sibuk kalo ngantri charging mobil listrik kebayang untuk saat,3,3_bensin_minyak_bakar_mobil,"['bensin', 'minyak', 'bakar', 'mobil', 'bahan', 'naik', 'mesin', 'begitu', 'listrik', 'sih']","['sekarang hemat nanti bensin hilang baru naik hargabrlistrik mu gecas perjam sma sudah amati dulu akngotbrminyak tanah man bs pegang nanti begitu bensin hilqng listrik naik per watt sekarang masi enak gt jg bis begitu hilang bis semua ganti trsjakarta kt lihat sewa masi desakkan nunmpuk kadan lingko banyak', 'kku orang kya apa lh tp amati betul kyk pemindahan minyak tanah gas dulu gas pertama keluar murah begitu minyak tanah punah baru naik gas gt jg nanti bensin kta arah kn pake motor listrk bensin hilang baru naik lisrik semua jg gt', 'mobil listrik naik daun iya lahbrgara gara si bahlil stop impor bahan bakar minyak buat swasta walaupun begitu mobil bensin tetap dicaribrmobil makan minum kan bensin brbinatang bs mati makan minumbrpolisi sih shell vivo bp jualan bensin buat ngurangin ketersediaan bensin pasaranbrmobil bensin lo cm bs beli bidr pertaminabrbagi hk mau ribet lo beli mobil listrikbrkonoha politik uang bermain kekuasaan jd alat buat ancaman']",bensin - minyak - bakar - mobil - bahan - naik - mesin - begitu - listrik - sih,0.5050570174895622,False
berarti benar apa pernah bossdarling bilang tentang mobil listrik baru sekarang banyak percaya bahwa mobil listrik ramah lingkungan brterus dulu pada kemana kok baru sekarang sadar,-1,-1_mobil_listrik_vehicle_electric,"['mobil', 'listrik', 'vehicle', 'electric', 'beli', 'kalo', 'untuk', 'harga', 'buat', 'sama']","['br justru karena dr mobil mekanik paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury berfokus pada electric vehicle karena buyer kelas suka dgn electric vehicle suka dgn mobil ice karena lebih seni amp kelasnya menikmati raungan mesin langkah diambil porsche gaada impactnya userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus ingat semakin banyak electric vehicle keluar baik usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car untuk ramah lingkungan untuk menghemat maintenance amp aftermarket price jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap hasil tambang amp untuk maintenancenya ketika baterai drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe afterpricenyabr cycle electric vehicle car desain untuk digunakan tahun atasbr untuk keamanan pernah liat berita ceo big company tewas dengan electric vehicle car karena electric vehicle car tiba out of control hack', 'mobil listrik atau motor listrik cocoknya mobilitas tinggibrklo dibawah kmhari masih mending pakai konvensional brklo kita pas baru punya mobil biasanya semangat pakai mobil tapi begitu tahu rasanya paling pakai mobil pas keluar bareng sama anak istri saja untuk kerja tiap hari lebih enak pakai motorbrmobil listrik paling murah jt cuma dapat wuling cuma dipakai kota sajabrklo mobil konvensional sudah banyak pilihan hrga segitubrmobil listrik tahun kedepan sudah saatnya ganti baterai ganti jt an pingin pastinya mau beli juga pikir untuk beli bekas karena sudah saatnya ganti batreibrmobil konvensional tahun kedepan bosen dijual lagi masih laku untuk nambah beli mobil baru', 'intinya gini mobil listrik cocoknya jadi mobil kedua karena mobil listrik cocok untuk perjalanan luar kota jarak jauh sebab kita butuh mengisi daya tempat mengisi daya belum tentu diperjalanan kita belum lagi jika ngantri waktu ngisinya juga lama mobil listrik dipakainya buat jarak dekat buat kepasar ngantar sekolah pergi ketempat kerja belanja dll sering digunakan sehari namun dalam jarak dekatbrbrdengan harga sama kalian dapat mobil konvensional sangat jauh lebih nyaman mobil listrik jadi kalau kalian nyari kenyamanan mobil listrik bukan jawabanya karena kalah jauh contohnya air electric vehicle harga jt dengan harga segitu kalian dapat xpander ultimate kelas kenyamanan sudah pasti beda jauh contoh lagi hyundai hyundai ioniq dengan harga jt lebih dengan harga segini kalian dapat toyota corolla kelas paling tinggi masih kembalian jt itupun hyundai ioniq masih apanya dalam hal kenyamanan kemewahanbrbrpenggunaan jangka panjang juga akan sulit dicapai oleh mobil listrik karena baterai pasti akan drop mengganti baterai sangatlah mahal']",mobil - listrik - vehicle - electric - beli - kalo - untuk - harga - buat - sama,0.0,False
biaya perbaikan mobil electric vehicle masih lebih ngotak daripada mobil bensin mesin mobil electric vehicle kalo mau swap mobil lain jelas bisabrbrkalo mobil bensin sejenisnya kalau swap mesin mobil lain atau modifikasi masih otak atik secara aman,8,8_electric_vehicle_tahun_harga,"['electric', 'vehicle', 'tahun', 'harga', 'masih', 'baru', 'beli', 'mobil', 'bekas', 'jadi']","['terus bandingin kembali value tahun wkwkwk woii ukur electric vehicle tahun rontoknya udh kyk gimana wuling air electric vehicle hyundai ioniq kona gausa jauh tahun ukur tahun tuh electric vehicle gda demand jadi mobil rongsok enteng bgt ngomong', 'atto atau electric vehicle memang sangat hemat operasional tambahan diluar hal teknis pastikan secara finansial sudah aman saat atau kedepan artinya saat keperluan mendesak mengharapkan dapat uang penjualan mobil karena mobil listrik susah harga pasti bikin sakit hati bukan salah mobil tapi efek perang harga electric vehicle calon pengguna cenderung beli baru banding bekas', 'kalo disuruh beli mobil electric vehicle baru masih dipertimbangkan tapi kalo beli electric vehicle bekas kayaknya enggak banget dehbrjadi pakai mobil electric vehicle baru sampai ancur abis buang laut']",electric - vehicle - tahun - harga - masih - baru - beli - mobil - bekas - jadi,1.0,False
bicara mobil listrik vs internal combustion jujur lebih prefer internal combustion karena mesin masih daur ulang casting lagi jadi mesin lagi atau benda lain lah baterai gabisa recycle,-1,-1_mobil_listrik_vehicle_electric,"['mobil', 'listrik', 'vehicle', 'electric', 'beli', 'kalo', 'untuk', 'harga', 'buat', 'sama']","['br justru karena dr mobil mekanik paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury berfokus pada electric vehicle karena buyer kelas suka dgn electric vehicle suka dgn mobil ice karena lebih seni amp kelasnya menikmati raungan mesin langkah diambil porsche gaada impactnya userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus ingat semakin banyak electric vehicle keluar baik usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car untuk ramah lingkungan untuk menghemat maintenance amp aftermarket price jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap hasil tambang amp untuk maintenancenya ketika baterai drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe afterpricenyabr cycle electric vehicle car desain untuk digunakan tahun atasbr untuk keamanan pernah liat berita ceo big company tewas dengan electric vehicle car karena electric vehicle car tiba out of control hack', 'mobil listrik atau motor listrik cocoknya mobilitas tinggibrklo dibawah kmhari masih mending pakai konvensional brklo kita pas baru punya mobil biasanya semangat pakai mobil tapi begitu tahu rasanya paling pakai mobil pas keluar bareng sama anak istri saja untuk kerja tiap hari lebih enak pakai motorbrmobil listrik paling murah jt cuma dapat wuling cuma dipakai kota sajabrklo mobil konvensional sudah banyak pilihan hrga segitubrmobil listrik tahun kedepan sudah saatnya ganti baterai ganti jt an pingin pastinya mau beli juga pikir untuk beli bekas karena sudah saatnya ganti batreibrmobil konvensional tahun kedepan bosen dijual lagi masih laku untuk nambah beli mobil baru', 'intinya gini mobil listrik cocoknya jadi mobil kedua karena mobil listrik cocok untuk perjalanan luar kota jarak jauh sebab kita butuh mengisi daya tempat mengisi daya belum tentu diperjalanan kita belum lagi jika ngantri waktu ngisinya juga lama mobil listrik dipakainya buat jarak dekat buat kepasar ngantar sekolah pergi ketempat kerja belanja dll sering digunakan sehari namun dalam jarak dekatbrbrdengan harga sama kalian dapat mobil konvensional sangat jauh lebih nyaman mobil listrik jadi kalau kalian nyari kenyamanan mobil listrik bukan jawabanya karena kalah jauh contohnya air electric vehicle harga jt dengan harga segitu kalian dapat xpander ultimate kelas kenyamanan sudah pasti beda jauh contoh lagi hyundai hyundai ioniq dengan harga jt lebih dengan harga segini kalian dapat toyota corolla kelas paling tinggi masih kembalian jt itupun hyundai ioniq masih apanya dalam hal kenyamanan kemewahanbrbrpenggunaan jangka panjang juga akan sulit dicapai oleh mobil listrik karena baterai pasti akan drop mengganti baterai sangatlah mahal']",mobil - listrik - vehicle - electric - beli - kalo - untuk - harga - buat - sama,0.0,False
