clean_textdisplay,predicted_sentiment,confidence_score
tahun buat offsett baterai dan habis tahun ganti baterai dari hasil googling gw nggak ada tuh hasil analisa yg bilang butuh tahun untuk offsett extra emisi dari electric vehicle ratarata bilang kurang dari tahun yang itu tentunya tergantung dari sumber listriknya klo sumber listriknya dari plta itu bahkan bisa sekitar setengah tahun sajabrbrdan ganti baterai tahun klo garansi baterai tahun dari toyota apa artinya bakal rusak setelah itu avanza itu garansi mesin tahun apa setelah tahun bakal ganti mesin ya kagak kan lagian ini apa iya electric vehicle keluaran itu sudah pada mesti ganti baterai ya kagak kan apalagi sekarang itu electric vehicle sudah ratarata pake lfp yang punya daya tahan yg panjang coba deh cek masa garansi baterai lfp banyak tuh yg jual ratarata garansinya itu tahun atau lebih dan itu garansi baterai tetap bisa menampung energi minimal jadi bukan artinya bakal rusak bahkan tata dan mg berani kasih garansi lifetime warranty untuk baterai electric vehicle mereka persoalan electric vehicle itu cuman satu sih charging station buat perjalanan jauh dan emang klo ini keknya mesti tunggu tesla masuk soalnya cuman tesla yg serius bikin charging station di negara yg mereka masukbrbroh satu lagi hydrogen itu nggak bakal saingin electric vehicle harga hydrogen itu muahall belum lagi distribusinya yg repot apalagi klo mau green hydrogen yg hasil elektrolisis itu muahall amat makanya ratarata hydrogen sekarang itu justru berasal dari pengolahan methane ya sekalian aja pake methane,positive,0.9793261
ada ga ada mobil listrik pabrikan nikel terus berjalan karena nikel itu bukan hanya buat bikin baterai mobil listriktapi banyak semisal buat baterai hplaptop dll bahkan panci yg didapur juga ada nikelnya dan masih banyak lagi penggunaan nya pemakaian nikel buat mobil listrik itu cuma dari penggunaan nikel,neutral,0.5053087
akhirnya persaingan negara china dengan electric vehicle dan jepang dengam plug in hybrid electric vehicle silahkan customer pilih mau pakai yg mana,neutral,0.99494404
akhirnya ttp beli electric vehicle sebenernya pengen bgt mobil hybrid tapi masalahnya sekarang bensin ngantri belum tentu ada di pom pom bagus ditutup sama yang paling ultimate sih pajak kendaraan bermotor kalo mobil hybrid pajak tahunannya x pajak electric vehicle sih for sure ambil mobil hybrid,positive,0.9682128
aki mobil mobil aja mahalgmna ganti aki mobil sebanyak yg di pake mobil listrik hampir sama harga mobilnya untung blm jadi beli mobil listrik,positive,0.8228323
aku kalo motor listrik sih ok karena aku sudah pakai selama tahunbrtapi kalo mobil masih belum bisa terima terlepas masalah kelestarian alambrkarena roda masih terlalu kompleks kalo harus dilistrikkanbrharusnya pemerintah fokus ke roda listrik,negative,0.68585217
aku ngikutin dokter mobil udah lama yg mereka bilang itu sesuai dengan fakta infrastruktur sebuah negara brbrko lunglung dokter mobil juga berkalikali bilang kalo teknologi dan populasi mobil listrik di china bisa sangat masif dan maju ya karena infrastrukturnya sudah benarbenar memadai,negative,0.82760227
aku team bensin hybri paling lope lope sama hidrogenbrbrjujur mobil listrik sumber polutan paling gede brsisa baterai itu lohbrbelum tambang bahan baterai brberhektar hektar cuma dapet dikit litium brngecas lama,positive,0.91284883
anti mobil listrik klo aku mh,neutral,0.9978769
argumennya terlalu dipaksakan sihbrfakta nya hydrogen yang di hasilkan dari elektrolisis efisiensinya maksimal hanya untuk mendapatkan energi dari hydrogen yang setara kw butuh listrik minimal kw kehilangan energi alias sistem ini merugi brsedangkan mobil listrik efisiensinya efisiensinya sangat tinggibrmasalah daur ulang baterai mobil listrik sekarang sudah banyak fasilitas daur ulang nya dan dijadikan baterai lagi brmasalah sumber pembangkit listrik sekarang adalah masa transisi energi dari energi fosil ke energi terbarukan dengan efisiensi yang semakin meningkat,positive,0.9765203
bahas sejarahbrkalo vedio diatas di bayar mafia minyak itu cuma tuduhan kau ajabrsedangkan di video membahas cara buat mobil listrik itu lebih merusak lingkungan sedangkan mobil bahan bakar minyak juga sama punya imbas ke lingkungan dan mereka bilang untuk yg lebih ramah ya hidrogen circle dari awal jelasbrkenapa kamu gak menyanggah itu,positive,0.996498
baterai electric vehicle di recycle menjadi black mass dan ada sistem purifikasi sehingga bisa di daur ulang ini sudah lazim dilakukan negara pemakai electric vehicle yang besar seperti cina electric vehicle minim perawatan sehingga bengkel bakal banyak kehilangan penghasilan apalagi pengguna electric vehicle cenderung melakukan servis di bengkel resmi,positive,0.8052651
bcara baterai mobil bensin solar pun ada baterai tapi ga segede gaban mobil listrik,neutral,0.9963858
