date,authordisplayname,textdisplay,likecount,clean_textdisplay,label,confidence,status,Column 1,Column 2,Column 3,Column 4,sentiment,pred_topic,topic_name
2024-10-26 01:55:33+00:00,@kedepp,"Jikanper hari isi bensin 100ribu, setahun 360 hari, berarti 36 juta buat bensin. Ya sesuailah depresiasi sama penggantian biaya bensin.  Sementara mercy/bmw udah depresiasi, isi bensin, maintenance mesin.<br>Jadi EV tetep pemenangnya.",0.0,jikanper hari isi bensin ribu setahun hari berarti juta buat bensin ya sesuailah depresiasi sama penggantian biaya bensin sementara mercybmw udah depresiasi isi bensin maintenance mesinbrjadi electric vehicle tetep pemenangnya,Positif,0.86,ok,,,,,negative,4,4_bensin_bakar_minyak_bahan
2024-10-26 01:02:47+00:00,@adolfbabehdolof8546,"Konten negatif, selalu menjelekkan EV, karena takut bisnis bengkel nya ancur... Di bisnis kalo tidak bisa ngikutin perkembangan jaman dan teknologi akan mati bisnis nya... <br>Contoh Blackbery, Nokia... <br>Saran saya DOMO harus nya bikin bengkel khusus EV cuan pasti lebih banyak, karena 5 tahun kedepan akan lebih banyak EV beredar dijalan... Hari gini idealis... ðŸ¤£ðŸ¤£ðŸ¤£",6.0,konten negatif selalu menjelekkan electric vehicle karena takut bisnis bengkel nya ancur di bisnis kalo tidak bisa ngikutin perkembangan jaman dan teknologi akan mati bisnis nya brcontoh blackbery nokia brsaran saya domo harus nya bikin bengkel khusus electric vehicle untung pasti lebih banyak karena tahun kedepan akan lebih banyak electric vehicle beredar dijalan hari gini idealis,Positif,0.91,ok,,,,,negative,-1,-1_mobil_vehicle_electric_listrik
2024-10-25 23:48:20+00:00,@guz3108,"Harga jual itu soal supply demand. Sekarang kebanyakan masih ice engine. Nanti pasti berubah. Hitung cost total aja. Hemat biaya bensin ganti oli. tetap ev no brainer. Ev terlalu cepat. Gak kok contoh Honda 2030 all ev.sisa 15 tahun waktu yg cepat. Shell , BP sudah mulai convert . Toyota saja sudah ganti jadi mobility company. Menurut gw bebas lung lung punya pendapat. Lagian bread and butter di sini. Divisi ev dia kan tidak se rame mobil konvensional. Blom lagi ganti oli dan auxularies nya",1.0,harga jual itu soal supply demand sekarang kebanyakan masih ice mesin nanti pasti berubah hitung cost total aja hemat biaya bensin ganti oli tetap electric vehicle no brainer electric vehicle terlalu cepat gak kok contoh honda all evsisa tahun waktu yg cepat shell bp sudah mulai convert toyota saja sudah ganti jadi mobility company menurut gw bebas lung lung punya pendapat lagian bread and butter di sini divisi electric vehicle dia kan tidak se rame mobil konvensional blom lagi ganti oli dan auxularies nya,Positif,0.86,ok,,,,,negative,-1,-1_mobil_vehicle_electric_listrik
2024-10-26 01:27:38+00:00,@aanganggara1699,"Anjiir murah amat klo 500rb sebulan, bensin mobil mana cukup segituu ðŸ˜­ðŸ˜­ðŸ˜­â€‹@michaell4620",0.0,anjiir murah amat klo rb sebulan bensin mobil mana cukup segituu,Positif,0.86,ok,,,,,negative,4,4_bensin_bakar_minyak_bahan
2024-10-25 23:12:27+00:00,@wawansetiawan3474,"Gak fair sih klo penilaian hanya di harga jual anjlok, harusnya itung juga tuh penghematan dari sisi bensin, perawatan dan pajak.<br><br>Dan kalo dihitung selama 8 tahun itu penghematan dari sisi bbm, perawatan dan pajak bisa jadi ratusan juta. Itu harus dihitung juga harusnya jangan dari satu sisi di harga jual aja sih.<br><br>Sama next kemungkinan 10 tahun lagi harga baterai turun. Ya maybe 30% atau 50% itu pasti akan terjadi karena teknologi baterai terus dikebut. Jadi nant bisa jadi orang2 mulai cari mobkas EV karena penggantian baterainya juga masih worth it secara itung2an beli mobil.",2.0,gak fair sih klo penilaian hanya di harga jual anjlok harusnya itung juga tuh penghematan dari sisi bensin perawatan dan pajakbrbrdan kalo dihitung selama tahun itu penghematan dari sisi bahan bakar minyak perawatan dan pajak bisa jadi ratusan juta itu harus dihitung juga harusnya jangan dari satu sisi di harga jual aja sihbrbrsama next kemungkinan tahun lagi harga baterai turun ya maybe atau itu pasti akan terjadi karena teknologi baterai terus dikebut jadi nant bisa jadi orang mulai cari mobil bekas electric vehicle karena penggantian baterainya juga masih worth it secara itungan beli mobil,Positif,0.91,ok,,,,,negative,1,1_baterai_harga_mobil_tahun
2024-10-25 22:42:53+00:00,@aliikhsan3753,Masih tetep pengen beli mobil listrik. Beli mobil listrik itu ibarat beli mobil sekalian bbmnya untuk beberapa tahun.,0.0,masih tetep pengen beli mobil listrik beli mobil listrik itu ibarat beli mobil sekalian bbmnya untuk beberapa tahun,Positif,0.93,ok,,,,,negative,0,0_mobil_beli_harga_ada
2024-10-25 21:44:49+00:00,@hansbela2474,"Gw pake air ev setaun pajak 150rb, udah jalan 24rb km, nyesel gak beli ev? Nyesel,kenapa beli baru, beli bekas aja hahaha balik modalnya cepet banget ini sih, siksa terus sampe mampus bisa itungannya malah itu ev gak usah dijual,  di buang juga masih untung.",0.0,gw pake air electric vehicle setaun pajak rb udah jalan rb km nyesel gak beli electric vehicle nyeselkenapa beli baru beli bekas aja hahaha balik modalnya cepet banget ini sih siksa terus sampe mampus bisa itungannya malah itu electric vehicle gak usah dijual di buang juga masih untung,Positif,0.97,ok,,,,,negative,-1,-1_mobil_vehicle_electric_listrik
2024-10-25 20:28:12+00:00,@Djinggo-o2u,"DOMO mau ngoceh apapun gak ngaruh,, buktinya tiap tahun penjualan mobil EV makin naik,, masyarakat bnyak yg sdh pinter....lihat aj 10 thun ke depan mobil EV akan tambah banyak di jaalan...BBM tentu harga makin tinggiðŸ˜ŠðŸ˜ŠðŸ˜Š...",0.0,domo mau ngoceh apapun gak ngaruh buktinya tiap tahun penjualan mobil electric vehicle makin naik masyarakat bnyak yg sdh pinterlihat aj thun ke depan mobil electric vehicle akan tambah banyak di jaalanbbm tentu harga makin tinggi,Positif,0.91,ok,,,,,negative,-1,-1_mobil_vehicle_electric_listrik
2024-10-25 19:30:42+00:00,@yesyasa19,"Kalau saya pakai ev hitung total cost ownership selama 8 tahun, karena ikut periode garansi batre ev nya. Bandingin dah antara biaya pajak, bensin/kwh, biaya perawatan berkala diluar free service. Trus hitung selisihnya kalo punya mobil yang harganya setara, ujungnya gap jauh kok. Jual mobil second mau ev atau non ev, sama aja harga tega2an kalo ke pedagang atau bukan ke user langsung",4.0,kalau saya pakai electric vehicle hitung total cost ownership selama tahun karena ikut periode garansi baterai electric vehicle nya bandingin dah antara biaya pajak bensinkwh biaya perawatan berkala diluar free service trus hitung selisihnya kalo punya mobil yang harganya setara ujungnya gap jauh kok jual mobil bekas mau electric vehicle atau non electric vehicle sama aja harga tegaan kalo ke pedagang atau bukan ke user langsung,Positif,0.74,"sudah_review
positif",,,,,negative,-1,-1_mobil_vehicle_electric_listrik
2024-10-25 23:48:23+00:00,@paperhouse6282,"@ilhamkontolodon9682 harga jual anjlok karena minay masyarakat sedikit. Minat masyarakat sedikit karena masyarakat khawatir terhadap harga jualnya lagi, yang di khawatirin itu adalah usia battery yang dianggap hanya sampai 10 tahun aja.<br><br>Disini Domo",0.0,harga jual anjlok karena minay masyarakat sedikit minat masyarakat sedikit karena masyarakat khawatir terhadap harga jualnya lagi yang di khawatirin itu adalah usia baterai yang dianggap hanya sampai tahun ajabrbrdisini domo tidak pernah membahas usia baterai electric vehicle yang sesungguhnya padahal dilapangan udah ada banyak bukti seperti supir taxi byd ataupun electric vehicle lainnya dan mereka semua sudah menempuh lebih dari km bahkan ada yang lebihdari km ini membuktikan usia baterai electric vehicle bisa lebih dari tahun pemakaianbrbrkalo seandainya masyarakat indo akhirnya tau maka mereka brani beli electric vehicle second kalo peminat electric vehicle akhirnya naik maka otomatis harga jual kembali electric vehicle bakalan strong,Positif,0.86,ok,,,,,negative,1,1_baterai_harga_mobil_tahun
